Sentence,correct_answer,false_answer,animacy_state,
The professor looked for the psychologists that in recent months the patients in the rehabilitation wing appreciated thanks to the personal attitude,psychologists,professor,both_animate,
The broadcaster interviewed the swimmers that the competitors watched during the coverage of the results,swimmers,broadcaster,both_animate,
The broadcasters interviewed the swimmers that the competitors watched during the coverage of the results,swimmers,broadcasters,both_animate,
The broadcaster interviewed the swimmers that last week the leading competitors in the world watched during the coverage of the results,swimmers,broadcaster,both_animate,
The broadcasters interviewed the swimmers that last week the leading competitors in the world watched during the coverage of the results,swimmers,broadcasters,both_animate,
The editor censored the journalists that the readers influenced following the poignant article,journalists,editor,both_animate,
The editors censored the journalists that the readers influenced following the poignant article,journalists,editors,both_animate,
The editor censored the journalists that last week's devout and educated readers influenced following the poignant article,journalists,editor,both_animate,
The editors censored the journalists that last week's devout and educated readers influenced following the poignant article,journalists,editors,both_animate,
The donor bored the researchers that interns disturbed during the grant approval process,researchers,donor,both_animate,
The donors bored the researchers that interns disturbed during the grant approval process,researchers,donors,both_animate,
The donor bored the researchers that last year the lazy and dependent interns disturbed during the grant approval process,researchers,donor,both_animate,
The donors bored the researchers that last year the lazy and dependent interns disturbed during the grant approval process,researchers,donors,both_animate,
