,Sentence,question,correct_answer,false_answer,model_question,bert_question,num_of_masks
209,The composition that was tonight at the impressive musician's competition moved the tough judges.,,,,,,
210,This is the pianist who tonight in the competition of the impressive musician moved the tough judges.,,,,,,
211,This is the piece that tonight in the competition of the impressive musician moved the tough judges.,,,,,,
212,The journalist who was this evening at the leading candidate's conference convinced the undecided voters.,,,,,,
213,The presentation that was this evening at the leading candidate's conference convinced the undecided voters.,,,,,,
214,This is the journalist who tonight at the conference of the leading candidate convinced the undecided voters.,,,,,,
215,This is the presentation that tonight at the conference of the leading candidate convinced the undecided voters.,,,,,,
216,The commanding officer who was early in the morning in the senior officer's headquarters woke up the combat soldiers.,,,,,,
217,The alarm that was early in the morning in the senior officer's headquarters woke up the combat soldiers.,,,,,,
218,This is the commanding officer who in the morning in the senior officer's headquarters woke up the combat soldiers.,,,,,,
219,This is the alarm that in the morning in the senior officer's headquarters woke up the combat soldiers.,,,,,,
220,The witness who was this week in the hardened criminal's apartment incriminated the accomplice.,,,,,,
221,The evidence that was this week in the hardened criminal's apartment incriminated the accomplice.,,,,,,
222,This is the witness who this week in the hardened criminal's apartment incriminated the accomplice.,,,,,,
223,This is the evidence that this week in the hardened criminal's apartment incriminated the accomplice.,,,,,,
224,The tourist hired the guides that the locals angered due to a misunderstanding,,,,,,
225,The tourists hired the guides that the locals angered due to a misunderstanding,,,,,,
226,The tourist hired the guides that two days ago the locals from the nearby village angered due to a misunderstanding,,,,,,
227,The tourists hired the guides who two days ago the locals from the nearby village angered due to a misunderstanding,,,,,,
228,The coach removed the gymnasts that the fans disrespected because of the recent losses,,,,,,
229,The coaches removed the gymnasts that the fans disrespected because of the recent losses,,,,,,
230,The coach removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses,,,,,,
231,The coaches removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses,,,,,,
232,The agent discovered the producers that the musicians excited following the success of the album,,,,,,
233,The agents discovered the producers that the musicians excited following the success of the album,,,,,,
234,The agent discovered the producers that a month ago the talented and friendly musicians excited following the success of the album,,,,,,
235,The agents discovered the producers that a month ago the talented and friendly musicians excited following the success of the album,,,,,,
236,The policeman hid the suspects that the criminals threatened after the publicized arrest,,,,,,
237,The policemen hid the suspects that the criminals threatened after the publicized arrest,,,,,,
238,The policeman hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest,,,,,,
239,The policemen hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest,,,,,,
240,The policeman hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest,,,,,,
241,The policemen hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest,,,,,,
242,The inspector will interrogate the wardens that the prisoners abused at the beginning of the official position,,,,,,
243,The inspectors will interrogate the wardens that the prisoners abused at the beginning of the official position,,,,,,
244,The inspector will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position,,,,,,
245,The inspectors will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position,,,,,,
246,The singer met the stars that the fans cared for during the long absence,,,,,,
247,The singers met the stars that the fans cared for during the long absence,,,,,,
248,The singer met the stars that loyal and devoted fans cared for in recent months during the long absence,,,,,,
249,The singers met the stars that loyal and devoted fans cared for in recent months during the long absence,,,,,,
250,The medic interrogated the doctors that the injured people needed following the car accident,,,,,,
251,The medics interrogated the doctors that the injured people needed following the car accident,,,,,,
252,The medic interrogated the doctors that the injured people needed following yesterday evening car accident,,,,,,
253,The medics interrogated the doctors that the injured people needed following yesterday evening car accident,,,,,,
254,The teacher failed the girls that the students ignored since the annual trip,,,,,,
255,The teachers failed the girls that the students ignored since the annual trip,,,,,,
256,The teacher failed the girls that the popular and arrogant students ignored for the past month since the annual trip,,,,,,
257,The teachers failed the girls that the popular and arrogant students ignored for the past month since the annual trip,,,,,,
258,The president summoned the consultants that the lobbyists paid to promote the law,,,,,,
259,The presidents summoned the consultants that the lobbyists paid to promote the law,,,,,,
260,The president summoned the consultants that last year the organization's lobbyists paid to promote the law,,,,,,
261,The presidents summoned the consultants that last year the organization's lobbyists paid to promote the law,,,,,,
262,The director sketched the actresses that the extras watched during the extended scene,,,,,,
263,The directors sketched the actresses that the extras watched during the extended scene,,,,,,
264,The director sketched the actresses that two days ago the young and excited extras watched during the extended scene,,,,,,
265,The directors sketched the actresses that two days ago the young and excited extras watched during the extended scene,,,,,,
266,The detective located the smugglers that the assistants helped for a high fee,,,,,,
267,The detectives located the smugglers that the assistants helped for a high fee,,,,,,
268,The detective located the smugglers that two weeks ago the smart and agile assistants helped for a high fee,,,,,,
269,The detectives located the smugglers that two weeks ago the smart and agile assistants helped for a high fee,,,,,,
270,The manager knew the cashiers that the customers heard during the busy shift,,,,,,
271,The managers knew the cashiers that the customers heard during the busy shift,,,,,,
272,The manager knew the cashiers that yesterday morning the demanding and opinionated customers heard during the busy shift,,,,,,
273,The managers knew the cashiers that yesterday morning the demanding and opinionated customers heard  during the busy shift,,,,,,
274,The ambassador appreciated the interpreters that the representatives supported despite the expected difficulties,,,,,,
275,The ambassadors appreciated the interpreters that the representatives supported despite the expected difficulties,,,,,,
276,The ambassador appreciated the interpreters that last week the moderate representatives at the conference supported despite the expected difficulties,,,,,,
277,The ambassadors appreciated the interpreters that last week the moderate representatives at the conference supported despite the expected difficulties,,,,,,
278,The defense attorney accompanied the accused ones that the jurors disliked in light of the accumulated evidence,,,,,,
279,The defense attorneys accompanied the accused ones that the jurors disliked in light of the accumulated evidence,,,,,,
280,The defense attorney accompanied the accused ones that two weeks ago the older and conservative jurors disliked in light of the accumulated evidence,,,,,,
281,The defense attorneys accompanied the accused ones that two weeks ago the older and conservative jurors disliked in light of the accumulated evidence,,,,,,
282,The choreographer recognized the dancers that cast members mocked during the first audition,,,,,,
283,The choreographers recognized the dancers that cast members mocked during the first audition,,,,,,
284,The choreographer recognized the dancers that last year's arrogant cast members mocked during the first audition,,,,,,
285,The choreographers recognized the dancers that last year's arrogant cast members mocked during the first audition,,,,,,
286,The king nurtured the princesses that the subjects rebelled against during the transition of power,,,,,,
287,The kings nurtured the princesses that the subjects rebelled against during the transition of power,,,,,,
288,The king nurtured the princesses that a year ago the poor and unfortunate subjects rebelled against during the transition of power,,,,,,
289,The kings nurtured the princesses that a year ago the poor and unfortunate subjects rebelled against during the transition of power,,,,,,
290,The tenant hosted the old women that the neighbors gossiped about at the last building meeting,,,,,,
291,The tenants hosted the old women that the neighbors gossiped about at the last building meeting,,,,,,
292,The tenant hosted the old women that last week the rude neighbors gossiped about at the last building meeting,,,,,,
293,The tenants hosted the old women that last week the rude neighbors gossiped about at the last building meeting,,,,,,
294,The dealer advertised the painters that the collectors looked at during the gallery visit,,,,,,
295,The dealers advertised the painters that the collectors looked at during the gallery visit,,,,,,
296,The dealer advertised the painters that a month ago the rich and mysterious collectors looked at during the visit to the gallery,,,,,,
297,The dealers advertised the painters that a month ago the rich and mysterious collectors looked at during the visit to the gallery,,,,,,
298,The officer trained the sergeants that the recruits feared during the long drills,,,,,,
299,The officers trained the sergeants that the recruits feared during the long drills,,,,,,
300,The officer trained the sergeants that for the past month the confused and tired rookies feared during the long drills,,,,,,
301,The officers trained the sergeants that for the past month the confused and tired rookies feared during the long drills,,,,,,
302,The photographer chose the sergeants that the designers harassed after the magazine interview,,,,,,
303,The photographers chose the models that the designers harassed after the magazine interview,,,,,,
304,The photographer chose the models that in recent months the most respected designers harassed after the interview for the magazine,,,,,,
305,The photographers chose the models that in recent months the most respected designers harassed after the interview for the magazine,,,,,,
306,The photographer chose the models that the designers harassed after the magazine interview,,,,,,
307,The presenter despised the reporters that superiors impressed by their extraordinary professionalism,,,,,,
308,The presenters despised the reporters that superiors impressed by their extraordinary professionalism,,,,,,
309,The presenter despised the reporters that last year's executives at the central channel impressed thanks to their extraordinary professionalism,,,,,,
310,The presenters despised the reporters that last year's executives at the central channel impressed thanks to their extraordinary professionalism,,,,,,
311,The cook liked the waitresses that the diners complimented at the end of the impressive event,,,,,,
312,The cooks liked the waitresses that the diners complimented at the end of the impressive event,,,,,,
313,The cook liked the waitresses that yesterday evening the seventy satisfied diners complimented at the end of the impressive event,,,,,,
314,The cooks liked the waitresses that yesterday evening the seventy satisfied diners complimented at the end of the impressive event,,,,,,
315,The pianist introduced the composers that the violinists admired during rehearsals for the concert,,,,,,
316,The pianists introduced the composers that the violinists admired during rehearsals for the concert,,,,,,
317,The pianist introduced the composers who last month the old and famous violinists admired during rehearsals for the concert,,,,,,
318,The pianists introduced the composers who last month the old and famous violinists admired during rehearsals for the concert,,,,,,
319,The inspector overtook the drivers that the motorcyclists escaped while the traffic light was changing,,,,,,
320,The inspectors overtook the drivers that the motorcyclists escaped while the traffic light was changing,,,,,,
321,The inspector overtook the drivers who this morning the careless motorcyclists escaped while the traffic light was changing,,,,,,
322,The inspectors overtook the drivers who this morning the careless motorcyclists escaped while the traffic light was changing,,,,,,
323,The referee disqualified the tennis players that the spectators approached at the end of the opening match,,,,,,
324,The referees disqualified the tennis players that the spectators approached at the end of the opening match,,,,,,
325,The referee disqualified the tennis players who a week ago the spectators from the upper stand approached at the end of the opening match,,,,,,
326,The referees disqualified the tennis players who a week ago the spectators from the upper stand approached at the end of the opening match,,,,,,
327,The clerk found the bank managers that the robbers shot before the police arrived on the scene,,,,,,
328,The clerks found the bank managers that the robbers shot before the police arrived on the scene,,,,,,
329,The clerk found the bank managers that this morning the armed and dangerous robbers shot before the police arrived at the scene,,,,,,
330,The clerks found the bank managers that this morning the armed and dangerous robbers shot before the police arrived at the scene,,,,,,
331,The architect hated the brokers that the tenants trusted in the process of writing the contract,,,,,,
332,The architects hated the brokers that the tenants trusted in the process of writing the contract,,,,,,
333,The architect hated the brokers that last year the careful and experienced tenants trusted in the process of writing the contract,,,,,,
334,The architects hated the brokers that last year the careful and experienced tenants trusted in the process of writing the contract,,,,,,
335,The practitioner saw the students that the lecturers advised during the difficult test,,,,,,
336,The practitioners saw the students that the lecturers advised during the difficult test,,,,,,
337,The practitioner saw the students that two days ago the inexperienced lecturers advised during the difficult test,,,,,,
338,The practitioners saw the students that two days ago the inexperienced lecturers advised during the difficult test,,,,,,
339,The diagnostician looked for the psychologists that the patients appreciated thanks to the personal attitude,,,,,,
340,The diagnosticians looked for the psychologists that the patients appreciated thanks to the personal attitude,,,,,,
341,The diagnostician looked for the psychologists that in recent months the patients in the rehabilitation wing appreciated thanks to the personal attitude,,,,,,
342,The diagnosticians looked for the psychologists that in recent months the patients in the rehabilitation wing appreciated thanks to the personal attitude,,,,,,
343,The broadcaster interviewed the swimmers that the competitors watched during the coverage of the results,,,,,,
344,The broadcasters interviewed the swimmers that the competitors watched during the coverage of the results,,,,,,
345,The broadcaster interviewed the swimmers that last week the leading competitors in the world watched during the coverage of the results,,,,,,
346,The broadcasters interviewed the swimmers that last week the leading competitors in the world watched during the coverage of the results,,,,,,
347,The editor censored the journalists that the readers influenced following the poignant article,,,,,,
348,The editors censored the journalists that the readers influenced following the poignant article,,,,,,
349,The editor censored the journalists that last week's devout and educated readers influenced following the poignant article,,,,,,
350,The editors censored the journalists that last week's devout and educated readers influenced following the poignant article,,,,,,
351,The donor bored the researchers that interns disturbed during the grant approval process,,,,,,
352,The donors bored the researchers that interns disturbed during the grant approval process,,,,,,
353,The donor bored the researchers that last year the lazy and dependent interns disturbed during the grant approval process,,,,,,
354,The donors bored the researchers that last year the lazy and dependent interns disturbed during the grant approval process,,,,,,
